hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|AL,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grove Hill Memorial Hospital,8/1/2024,2.0.0,Grove Hill Memorial Hospital,"295 South Jackson Street, Grove Hill, AL 36451",63-0436871 | AL,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code | 1,code |1| type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,,modifiers,standard_charge|[BCBS]|[Alabama] |negotiated_dollar,standard_charge|[Medicare]|[Alabama] |negotiated_dollar,standard_charge|[Aetna]|[Alabama] | negotiated_dollar,standard_charge|[Cigna]|[Alabama] |negotiated_dollar,standard_charge|[Humana]|[Alabama] |negotiated_dollar,standard_charge|[Medicaid]|[Alabama] |negotiated_dollar,standard_charge|[BCBS]|[Alabama]|negotiated_percentage,standard_charge|[Medicare]|[Alabama]|negotiated_percentage,standard_charge|[Aetna]|[Alabama]|negotiated_percentage,standard_charge|[Cigna]|[Alabama]|negotiated_percentage,standard_charge|[Humana]|[Alabama]|negotiated_percentage,standard_charge|[Medicaid]|[Alabama]|negotiated_percentage,standard_charge|[BCBS]|[Alabama]|negotiated_algorithm,standard_charge|[Medicare]|[Alabama]|negotiated_algorithm,standard_charge|[Aetna]|[Alabama]|negotiated_algorithm,standard_charge|[Cigna]|[Alabama]|negotiated_algorithm,standard_charge|[Humana]|[Alabama]|negotiated_algorithm,standard_charge|[Medicaid]|[Alabama]|negotiated_algorithm,standard_charge|min,standard_charge|max,standard_charge|[BCBS] |[Alabama] |methodology,standard_charge|[Medicare] |[Alabama] |methodology,standard_charge|[Aetna] |[Alabama] |methodology,standard_charge|[Cigna] |[Alabama] |methodology,standard_charge|[Humana] |[Alabama] |methodology,standard_charge|[Medicaid] |[Alabama] |methodology,estimated_amount|[BCBS]|[Alabama],estimated_amount|[Medicare]|[Alabama],estimated_amount|[Aetna]|[Alabama],estimated_amount|[Cigna]|[Alabama],estimated_amount|[Humana]|[Alabama],estimated_amount|[Medicaid]|[Alabama],additional_generic_notes,additional_payer_notes|[BCBS]|[Alabama],additional_payer_notes|[Medicare]|[Alabama],additional_payer_notes|[Aetna]|[Alabama],additional_payer_notes|[Cigna]|[Alabama],additional_payer_notes|[Humana]|[Alabama],additional_payer_notes|[Medicaid]|[Alabama]
VITAMIN D 25 HYDROXY,82306,CPT,Both,,,211,127,,,42.2,42.2,42.2,42.2,42.2,42.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,42.2,158,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,42.2,42.2,42.2,42.2,42.2,42.2,N/A,,,,,,
T AND B LYMPHOCYTE DIF,86355,CPT,Both,,,272,163,,,54.4,54.4,54.4,54.4,54.4,54.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,54.4,204,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,54.4,54.4,54.4,54.4,54.4,54.4,N/A,,,,,,
ANCA ANTIBODIES,86256,CPT,Both,,,100,60,,,20,20,20,20,20,20,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20,75,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,20,20,20,20,20,20,N/A,,,,,,
HERPES SIMPLEX 1/2 DNA,87529,CPT,Both,,,261,157,,,52.2,52.2,52.2,52.2,52.2,52.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,52.2,196,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,52.2,52.2,52.2,52.2,52.2,52.2,N/A,,,,,,
KEPPRA (LEVETIRACETAM),80177,CPT,Both,,,124,74,,,24.8,24.8,24.8,24.8,24.8,24.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,24.8,93,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,24.8,24.8,24.8,24.8,24.8,24.8,N/A,,,,,,
"CMV, QUANTITATIVE, PLA",87497,CPT,Both,,,265,159,,,53,53,53,53,53,53,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,53,199,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,53,53,53,53,53,53,N/A,,,,,,
JAK 2 MUTATION,81219,CPT,Both,,,516,310,,,103.2,103.2,103.2,103.2,103.2,103.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,103.2,387,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,103.2,103.2,103.2,103.2,103.2,103.2,N/A,,,,,,
B-HYDROXYBUTYRATE,82010,CPT,Both,,,131,79,,,26.2,26.2,26.2,26.2,26.2,26.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26.2,98,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26.2,26.2,26.2,26.2,26.2,26.2,N/A,,,,,,
INSULIN AUTOANTIBODIES,86337,CPT,Both,,,131,79,,,26.2,26.2,26.2,26.2,26.2,26.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26.2,98,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26.2,26.2,26.2,26.2,26.2,26.2,N/A,,,,,,
"BB ANTIBODY ID, LIFE S",86870,CPT,Both,,,1800,1080,,,360,360,360,360,360,360,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,360,1350,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,360,360,360,360,360,360,N/A,,,,,,
TRYPTASE,83520,CPT,Both,,,137,82,,,27.4,27.4,27.4,27.4,27.4,27.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,27.4,103,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,27.4,27.4,27.4,27.4,27.4,27.4,N/A,,,,,,
INFLUENZA  A  AND B PC,87502,CPT,Both,,,421,253,,,84.2,84.2,84.2,84.2,84.2,84.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,84.2,316,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,84.2,84.2,84.2,84.2,84.2,84.2,N/A,,,,,,
URINE 24 HR. TOTAL PR,84156,CPT,Both,,,67,40,,,13.4,13.4,13.4,13.4,13.4,13.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13.4,50,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13.4,13.4,13.4,13.4,13.4,13.4,N/A,,,,,,
H PYLORI UREA BREATH T,83013,CPT,Both,,,334,200,,,66.8,66.8,66.8,66.8,66.8,66.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,66.8,251,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,66.8,66.8,66.8,66.8,66.8,66.8,N/A,,,,,,
"CK, TOTAL PLUS ISOENZY",82552,CPT,Both,,,134,80,,,26.8,26.8,26.8,26.8,26.8,26.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26.8,101,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26.8,26.8,26.8,26.8,26.8,26.8,N/A,,,,,,
ALDOSTERONE,82088,CPT,Both,,,348,209,,,69.6,69.6,69.6,69.6,69.6,69.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,69.6,261,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,69.6,69.6,69.6,69.6,69.6,69.6,N/A,,,,,,
FECAL PANCREATIC ELAST,82656,CPT,Both,,,239,143,,,47.8,47.8,47.8,47.8,47.8,47.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,47.8,179,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,47.8,47.8,47.8,47.8,47.8,47.8,N/A,,,,,,
"CHLAMYDIA/GC/TRICH, NA",87491,CPT,Both,,,386,232,,,77.2,77.2,77.2,77.2,77.2,77.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,77.2,290,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,77.2,77.2,77.2,77.2,77.2,77.2,N/A,,,,,,
STONE ANALYSIS,82360,CPT,Both,,,120,72,,,24,24,24,24,24,24,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,24,90,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,24,24,24,24,24,24,N/A,,,,,,
VITAMIN B2,84252,CPT,Both,,,98,59,,,19.6,19.6,19.6,19.6,19.6,19.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,19.6,74,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,19.6,19.6,19.6,19.6,19.6,19.6,N/A,,,,,,
RESPIRATORY SYNCYTIAL,87807,CPT,Both,,,246,148,,,49.2,49.2,49.2,49.2,49.2,49.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,49.2,185,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,49.2,49.2,49.2,49.2,49.2,49.2,N/A,,,,,,
ANTI-MULLERIAN HORMONE,82397,CPT,Both,,,143,86,,,28.6,28.6,28.6,28.6,28.6,28.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,28.6,107,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,28.6,28.6,28.6,28.6,28.6,28.6,N/A,,,,,,
FACTOR VII ACTIVITY,85230,CPT,Both,,,124,74,,,24.8,24.8,24.8,24.8,24.8,24.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,24.8,93,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,24.8,24.8,24.8,24.8,24.8,24.8,N/A,,,,,,
FACTOR IX ACTIVITY,85250,CPT,Both,,,124,74,,,24.8,24.8,24.8,24.8,24.8,24.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,24.8,93,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,24.8,24.8,24.8,24.8,24.8,24.8,N/A,,,,,,
VITAMIN C,82180,CPT,Both,,,111,67,,,22.2,22.2,22.2,22.2,22.2,22.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,22.2,83,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,22.2,22.2,22.2,22.2,22.2,22.2,N/A,,,,,,
MYCOPHENOLIC ACID,80180,CPT,Both,,,215,129,,,43,43,43,43,43,43,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,43,161,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,43,43,43,43,43,43,N/A,,,,,,
"PREGNENOLONE, MASS SPE",84140,CPT,Both,,,209,125,,,41.8,41.8,41.8,41.8,41.8,41.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,41.8,157,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,41.8,41.8,41.8,41.8,41.8,41.8,N/A,,,,,,
SOLUBLE TRANSFERRIN RE,84238,CPT,Both,,,65,39,,,13,13,13,13,13,13,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13,49,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13,13,13,13,13,13,N/A,,,,,,
HEREDITARY HEMOCHROMAT,81256,CPT,Both,,,128,77,,,25.6,25.6,25.6,25.6,25.6,25.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,25.6,96,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,25.6,25.6,25.6,25.6,25.6,25.6,N/A,,,,,,
VITAMIN B3,84591,CPT,Both,,,98,59,,,19.6,19.6,19.6,19.6,19.6,19.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,19.6,74,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,19.6,19.6,19.6,19.6,19.6,19.6,N/A,,,,,,
REVERSE T3 SERUM,84482,CPT,Both,,,340,204,,,68,68,68,68,68,68,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,68,255,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,68,68,68,68,68,68,N/A,,,,,,
FECAL CALPROTECTIN,83993,CPT,Both,,,370,222,,,74,74,74,74,74,74,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,74,278,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,74,74,74,74,74,74,N/A,,,,,,
LEUKEMIA/LYMPHOMA IMMU,86360,CPT,Both,,,272,163,,,54.4,54.4,54.4,54.4,54.4,54.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,54.4,204,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,54.4,54.4,54.4,54.4,54.4,54.4,N/A,,,,,,
FECAL LACTOFERRIN,83631,CPT,Both,,,115,69,,,23,23,23,23,23,23,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,23,86,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,23,23,23,23,23,23,N/A,,,,,,
"ALLERGEN PROFILE, FOOD",86003,CPT,Both,,,103,62,,,20.6,20.6,20.6,20.6,20.6,20.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20.6,77,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,20.6,20.6,20.6,20.6,20.6,20.6,N/A,,,,,,
LIPOPROTEIN A,83695,CPT,Both,,,219,131,,,43.8,43.8,43.8,43.8,43.8,43.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,43.8,164,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,43.8,43.8,43.8,43.8,43.8,43.8,N/A,,,,,,
APOLIPOPROTEIN B,82172,CPT,Both,,,204,122,,,40.8,40.8,40.8,40.8,40.8,40.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,40.8,153,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,40.8,40.8,40.8,40.8,40.8,40.8,N/A,,,,,,
CRYPTOSPORIDIUM EIA,87328,CPT,Both,,,161,97,,,32.2,32.2,32.2,32.2,32.2,32.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,32.2,121,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,32.2,32.2,32.2,32.2,32.2,32.2,N/A,,,,,,
PROTEIN ELECTROPHORESI,84166,CPT,Both,,,320,192,,,64,64,64,64,64,64,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,64,240,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,64,64,64,64,64,64,N/A,,,,,,
C TELOPEPTIDE,82523,CPT,Both,,,181,109,,,36.2,36.2,36.2,36.2,36.2,36.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,36.2,136,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,36.2,36.2,36.2,36.2,36.2,36.2,N/A,,,,,,
AMIKACIN TROUGH/PEAK,80150,CPT,Both,,,200,120,,,40,40,40,40,40,40,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,40,150,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,40,40,40,40,40,40,N/A,,,,,,
BNP,83880,CPT,Both,,,274,164,,,54.8,54.8,54.8,54.8,54.8,54.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,54.8,206,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,54.8,54.8,54.8,54.8,54.8,54.8,N/A,,,,,,
VANCOMYCIN TROUGH,80202,CPT,Both,,,127,76,,,25.4,25.4,25.4,25.4,25.4,25.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,25.4,95,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,25.4,25.4,25.4,25.4,25.4,25.4,N/A,,,,,,
GENTAMICIN TROUGH,80170,CPT,Both,,,131,79,,,26.2,26.2,26.2,26.2,26.2,26.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,26.2,98,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,26.2,26.2,26.2,26.2,26.2,26.2,N/A,,,,,,
OCCULT BLOOD (1-3 SPEC,82272,CPT,Both,,,50,30,,,10,10,10,10,10,10,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,10,38,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,10,10,10,10,10,10,N/A,,,,,,
LYSOZYME,85549,CPT,Both,,,120,72,,,24,24,24,24,24,24,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,24,90,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,24,24,24,24,24,24,N/A,,,,,,
FREE KAPPA  AND LAMBDA,83883,CPT,Both,,,304,182,,,60.8,60.8,60.8,60.8,60.8,60.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,60.8,228,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,60.8,60.8,60.8,60.8,60.8,60.8,N/A,,,,,,
"HEPATITIS B CORE AB, I",86705,CPT,Both,,,71,43,,,14.2,14.2,14.2,14.2,14.2,14.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,14.2,53,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,14.2,14.2,14.2,14.2,14.2,14.2,N/A,,,,,,
INHIBIN A,86336,CPT,Both,,,67,40,,,13.4,13.4,13.4,13.4,13.4,13.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,13.4,50,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,13.4,13.4,13.4,13.4,13.4,13.4,N/A,,,,,,
CLOBAZAM,80339,CPT,Both,,,250,150,,,50,50,50,50,50,50,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,50,188,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,50,50,50,50,50,50,N/A,,,,,,
COVID-2/PCR (IN-HOUSE,87635,CPT,Both,,,145,87,,,29,29,29,29,29,29,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,29,109,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,29,29,29,29,29,29,N/A,,,,,,
ESTRONE,82679,CPT,Both,,,196,118,,,39.2,39.2,39.2,39.2,39.2,39.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,39.2,147,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,39.2,39.2,39.2,39.2,39.2,39.2,N/A,,,,,,
BCR-ABL1 KINASE MUTATI,81170,CPT,Both,,,846,508,,,169.2,169.2,169.2,169.2,169.2,169.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,169.2,635,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,169.2,169.2,169.2,169.2,169.2,169.2,N/A,,,,,,
FREE PLASMA HEMOGLOBIN,83051,CPT,Both,,,91,55,,,18.2,18.2,18.2,18.2,18.2,18.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,18.2,68,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,18.2,18.2,18.2,18.2,18.2,18.2,N/A,,,,,,
MYASTHENIA GRAVIS PROF,83519,CPT,Both,,,232,139,,,46.4,46.4,46.4,46.4,46.4,46.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,46.4,174,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,46.4,46.4,46.4,46.4,46.4,46.4,N/A,,,,,,
BB BLOOD TRANSFUSION,36430,CPT,Both,,,1217,730,,,243.4,243.4,243.4,243.4,243.4,243.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,243.4,913,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,243.4,243.4,243.4,243.4,243.4,243.4,N/A,,,,,,
QUANTIFERON TB GOLD PL,86480,CPT,Both,,,161,97,,,32.2,32.2,32.2,32.2,32.2,32.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,32.2,121,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,32.2,32.2,32.2,32.2,32.2,32.2,N/A,,,,,,
"FACTOR II, DNA ANALYSI",81240,CPT,Both,,,371,223,,,74.2,74.2,74.2,74.2,74.2,74.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,74.2,278,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,74.2,74.2,74.2,74.2,74.2,74.2,N/A,,,,,,
MEASLES/MUMPS/RUBELLA,90707,CPT,Both,,,266,160,,,53.2,53.2,53.2,53.2,53.2,53.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,53.2,200,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,53.2,53.2,53.2,53.2,53.2,53.2,N/A,,,,,,
BETA 2 GLYCOPROTEIN,86146,CPT,Both,,,315,189,,,63,63,63,63,63,63,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,63,236,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,63,63,63,63,63,63,N/A,,,,,,
BK VIRUS QUANT PCR,87799,CPT,Both,,,841,505,,,168.2,168.2,168.2,168.2,168.2,168.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,168.2,631,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,168.2,168.2,168.2,168.2,168.2,168.2,N/A,,,,,,
MYOGLOBIN SERUM,83874,CPT,Both,,,90,54,,,18,18,18,18,18,18,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,18,68,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,18,18,18,18,18,18,N/A,,,,,,
FACTOR V LEIDEN MUTATI,81241,CPT,Both,,,210,126,,,42,42,42,42,42,42,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,42,158,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,42,42,42,42,42,42,N/A,,,,,,
"EVEROLIMUS, WHOLE BLOO",80169,CPT,Both,,,426,256,,,85.2,85.2,85.2,85.2,85.2,85.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,85.2,320,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,85.2,85.2,85.2,85.2,85.2,85.2,N/A,,,,,,
