hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|CA,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",general_contract_provisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Martin Community Hospital,1/9/2025,1.0.0,Lake Martin Community Hospital,"201 Mariarden Rd, Dadeville, AL 36853",H6202,TRUE,"When total claim charges exceed $200,000.00 for a Platform Health Insurance plan, the entire claim will be reimbursed at 50% of charges. This amount will supersede any other contracted rate that would otherwise apply. When total claim charges exceed $250,000.00 for a Region Health Insurance plan, the entire claim will be reimbursed at 45% of charges. This amount will supersede any other contracted rate that would otherwise apply.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code|1,code|1|type,code|2,code|2|type,modifiers,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,standard_charge|MEDICARE|negotiated_dollar,standard_charge|MEDICARE|negotiated_percentage,standard_charge|MEDICARE|negotiated_algorithm,estimated_amount|MEDICARE|,standard_charge|MEDICARE|methodology,additional_payer_notes|MEDICARE|,standard_charge|TRICARE|ALL PLANS|negotiated_dollar,standard_charge|TRICARE|ALL PLANS|negotiated_percentage,standard_charge|TRICARE|ALL PLANS|negotiated_algorithm,estimated_amount|TRICARE|ALL PLANS,standard_charge|TRICARE|ALL PLANS|methodology,additional_payer_notes|TRICARE|ALL PLANS,standard_charge|MEDICAID|negotiated_dollar,standard_charge|MEDICAID|negotiated_percentage,standard_charge|MEDICAID|negotiated_algorithm,estimated_amount|MEDICAID|,standard_charge|MEDICAID|methodology,additional_payer_notes|MEDICAID|,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_dollar,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_percentage,standard_charge|VIVA MEDICARE ALL PLANS|negotiated_algorithm,estimated_amount|VIVA MEDICARE ALL PLANS|,standard_charge|VIVA MEDICARE ALL PLANS|methodology,additional_payer_notes|VIVA MEDICARE ALL PLANS|,standard_charge|HUMANA ALL PLANS|negotiated_dollar,standard_charge|HUMANA ALL PLANS|negotiated_percentage,standard_charge|HUMANA ALL PLANS|negotiated_algorithm,estimated_amount|HUMANA ALL PLANS|,standard_charge|HUMANA ALL PLANS|methodology,additional_payer_notes|HUMANA ALL PLANS|,standard_charge|min,standard_charge|max,additional_generic_notes
IV ADMIN /OTHER EA. ADDITION HOUR,96366,CPT,,,,BOTH,,,51,25.5,42.37,,,,FEE SCHEDULE,,38.13,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,42.37,,,,FEE SCHEDULE,,,85,,43.35,PERCENTAGE OF TOTAL BILLED CHARGES,,38.13,42.37,
IV ADM  OTHER EA ADDITIONAL  HR-OP,96366,CPT,,,,BOTH,,,42,21,42.37,,,,FEE SCHEDULE,,38.13,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,42.37,,,,FEE SCHEDULE,,,85,,35.7,PERCENTAGE OF TOTAL BILLED CHARGES,,38.13,42.37,
IV INFUSION THERAPY EACH ADDITIONAL HOUR,96366,CPT,,,,BOTH,,,71,35.5,42.37,,,,FEE SCHEDULE,,38.13,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,42.37,,,,FEE SCHEDULE,,,85,,60.35,PERCENTAGE OF TOTAL BILLED CHARGES,,38.13,42.37,
ADD SEQUENTIAL INFUSION UP TO 1 HR,96367,CPT,,,,BOTH,,,71,35.5,67.47,,,,FEE SCHEDULE,,60.72,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,67.47,,,,FEE SCHEDULE,,,85,,60.35,PERCENTAGE OF TOTAL BILLED CHARGES,,60.72,67.47,
IV INFUSION THERAPY EA ADDL HR DIFF DRUG,96367,CPT,,,,BOTH,,,71,35.5,67.47,,,,FEE SCHEDULE,,60.72,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,67.47,,,,FEE SCHEDULE,,,85,,60.35,PERCENTAGE OF TOTAL BILLED CHARGES,,60.72,67.47,
IV DRUG CONCURRENT INFUSION,96368,CPT,,,,BOTH,,,49,24.5,18.21,,,,FEE SCHEDULE,,16.39,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,18.21,,,,FEE SCHEDULE,,,85,,41.65,PERCENTAGE OF TOTAL BILLED CHARGES,,16.39,24.5,
IV CONCURRENT INFUSION,96368,CPT,,,,BOTH,,,49,24.5,18.21,,,,FEE SCHEDULE,,16.39,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,18.21,,,,FEE SCHEDULE,,,85,,41.65,PERCENTAGE OF TOTAL BILLED CHARGES,,16.39,24.5,
IM INJ. ADMIN. OTHER,96372,CPT,,,,BOTH,,,34,17,67.47,,,,FEE SCHEDULE,,60.72,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,67.47,,,,FEE SCHEDULE,,,85,,28.9,PERCENTAGE OF TOTAL BILLED CHARGES,,60.72,67.47,
IM INJ. ADMIN. OTHER,96372,CPT,,,,BOTH,,,34,17,67.47,,,,FEE SCHEDULE,,60.72,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,67.47,,,,FEE SCHEDULE,,,85,,28.9,PERCENTAGE OF TOTAL BILLED CHARGES,,60.72,67.47,
IM/ SQ INJ ADMIN,96372,CPT,,,,BOTH,,,34,17,67.47,,,,FEE SCHEDULE,,60.72,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,67.47,,,,FEE SCHEDULE,,,85,,28.9,PERCENTAGE OF TOTAL BILLED CHARGES,,60.72,67.47,
IM OR SQ INJECTION THERAPUTIC,96372,CPT,,,,BOTH,,,34,17,67.47,,,,FEE SCHEDULE,,60.72,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,67.47,,,,FEE SCHEDULE,,,85,,28.9,PERCENTAGE OF TOTAL BILLED CHARGES,,60.72,67.47,
IV PUSH INT DRUG-(INITIAL ONLY),96374,CPT,,,,BOTH,,,85,42.5,206.57,,,,FEE SCHEDULE,,185.91,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,206.57,,,,FEE SCHEDULE,,,85,,72.25,PERCENTAGE OF TOTAL BILLED CHARGES,,185.91,206.57,
IV INJ OF ANY DRUG,96374,CPT,,,,BOTH,,,81,40.5,206.57,,,,FEE SCHEDULE,,185.91,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,206.57,,,,FEE SCHEDULE,,,85,,68.85,PERCENTAGE OF TOTAL BILLED CHARGES,,185.91,206.57,
IV  PUSH EA DIFFERENT DRUG ADD-ER,96375,CPT,,,,BOTH,,,38,19,42.37,,,,FEE SCHEDULE,,38.13,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,42.37,,,,FEE SCHEDULE,,,85,,32.3,PERCENTAGE OF TOTAL BILLED CHARGES,,38.13,42.37,
IV PUSH SAME DRUG -ER,96376,CPT,,,,BOTH,,,27,13.5,,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,,85,,22.95,PERCENTAGE OF TOTAL BILLED CHARGES,,,,
COLD PK/CYRO 97010,97010,CPT,,,,BOTH,,,22,11,,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,14.82,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,,85,,18.7,PERCENTAGE OF TOTAL BILLED CHARGES,,14.82,14.82,
HOT COLD PACK APPL,97010,CPT,,,,BOTH,,,27,13.5,,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,14.82,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,,85,,22.95,PERCENTAGE OF TOTAL BILLED CHARGES,,14.82,14.82,
HOT PACKS II,97010,CPT,,,,BOTH,,,30.8,15.4,,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,14.82,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,,85,,26.18,PERCENTAGE OF TOTAL BILLED CHARGES,,14.82,15.4,
ULTRASOUND II,97010,CPT,,,,BOTH,,,41.25,20.63,,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,14.82,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,,85,,35.0625,PERCENTAGE OF TOTAL BILLED CHARGES,,14.82,20.63,
INTERMIT TRACTION,97012,CPT,,,,BOTH,,,44.5,22.25,13.78,,,,FEE SCHEDULE,,12.4,,,,FEE SCHEDULE,,14.8,,,,FEE SCHEDULE,,13.78,,,,FEE SCHEDULE,,,85,,37.825,PERCENTAGE OF TOTAL BILLED CHARGES,,12.4,22.25,
ELECTRODES PKG,97014,CPT,,,,BOTH,,,18.7,9.35,23,,,,FEE SCHEDULE,,20.7,,,,FEE SCHEDULE,,13.35,,,,FEE SCHEDULE,,23,,,,FEE SCHEDULE,,,85,,15.895,PERCENTAGE OF TOTAL BILLED CHARGES,,13.35,23,
IONTOPH ELECTR/EA,97014,CPT,,,,BOTH,,,52.25,26.13,23,,,,FEE SCHEDULE,,20.7,,,,FEE SCHEDULE,,13.35,,,,FEE SCHEDULE,,23,,,,FEE SCHEDULE,,,85,,44.4125,PERCENTAGE OF TOTAL BILLED CHARGES,,13.35,26.13,
VASOPNEUMATIC DEVI,97016,CPT,,,,BOTH,,,39,19.5,11.11,,,,FEE SCHEDULE,,10,,,,FEE SCHEDULE,,22.24,,,,FEE SCHEDULE,,11.11,,,,FEE SCHEDULE,,,85,,33.15,PERCENTAGE OF TOTAL BILLED CHARGES,,10,22.24,
PARRAFIN BATH,97018,CPT,,,,BOTH,,,31,15.5,5.26,,,,FEE SCHEDULE,,4.73,,,,FEE SCHEDULE,,13.35,,,,FEE SCHEDULE,,5.26,,,,FEE SCHEDULE,,,85,,26.35,PERCENTAGE OF TOTAL BILLED CHARGES,,4.73,15.5,
WHIRLPOOL-SMALL,97022,CPT,,,,BOTH,,,40,20,15.83,,,,FEE SCHEDULE,,14.25,,,,FEE SCHEDULE,,13.35,,,,FEE SCHEDULE,,15.83,,,,FEE SCHEDULE,,,85,,34,PERCENTAGE OF TOTAL BILLED CHARGES,,13.35,20,
WHIRLPOOL-LARGE,97022,CPT,,,,BOTH,,,53,26.5,15.83,,,,FEE SCHEDULE,,14.25,,,,FEE SCHEDULE,,13.35,,,,FEE SCHEDULE,,15.83,,,,FEE SCHEDULE,,,85,,45.05,PERCENTAGE OF TOTAL BILLED CHARGES,,13.35,26.5,
WHIRLPOOL W/DRSG C,97022,CPT,,,,BOTH,,,90,45,15.83,,,,FEE SCHEDULE,,14.25,,,,FEE SCHEDULE,,13.35,,,,FEE SCHEDULE,,15.83,,,,FEE SCHEDULE,,,85,,76.5,PERCENTAGE OF TOTAL BILLED CHARGES,,13.35,45,
ELEC STIM W/ICE/,97032,CPT,,,,BOTH,,,44.5,22.25,13.78,,,,FEE SCHEDULE,,12.4,,,,FEE SCHEDULE,,22.24,,,,FEE SCHEDULE,,13.78,,,,FEE SCHEDULE,,,85,,37.825,PERCENTAGE OF TOTAL BILLED CHARGES,,12.4,22.25,
ELECTRIC STIMULATI,97032,CPT,,,,BOTH,,,50,25,13.78,,,,FEE SCHEDULE,,12.4,,,,FEE SCHEDULE,,22.24,,,,FEE SCHEDULE,,13.78,,,,FEE SCHEDULE,,,85,,42.5,PERCENTAGE OF TOTAL BILLED CHARGES,,12.4,25,
IONTOPHORESIS PER,97033,CPT,,,,BOTH,,,58,29,18.59,,,,FEE SCHEDULE,,16.73,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,18.59,,,,FEE SCHEDULE,,,85,,49.3,PERCENTAGE OF TOTAL BILLED CHARGES,,16.73,29,
CERVICAL HEAD HALT,97033,CPT,,,,BOTH,,,18.7,9.35,18.59,,,,FEE SCHEDULE,,16.73,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,18.59,,,,FEE SCHEDULE,,,85,,15.895,PERCENTAGE OF TOTAL BILLED CHARGES,,16.73,18.59,
CONTRAST BATH PER,97034,CPT,,,,BOTH,,,43,21.5,13.62,,,,FEE SCHEDULE,,12.26,,,,FEE SCHEDULE,,22.24,,,,FEE SCHEDULE,,13.62,,,,FEE SCHEDULE,,,85,,36.55,PERCENTAGE OF TOTAL BILLED CHARGES,,12.26,22.24,
ULTRASOUND PER 15,97035,CPT,,,,BOTH,,,31,15.5,13.62,,,,FEE SCHEDULE,,12.26,,,,FEE SCHEDULE,,22.24,,,,FEE SCHEDULE,,13.62,,,,FEE SCHEDULE,,,85,,26.35,PERCENTAGE OF TOTAL BILLED CHARGES,,12.26,22.24,
THERAPEUTIC EXER,97110,CPT,,,,BOTH,,,42,21,28,,,,FEE SCHEDULE,,25.2,,,,FEE SCHEDULE,,22.24,,,,FEE SCHEDULE,,28,,,,FEE SCHEDULE,,,85,,35.7,PERCENTAGE OF TOTAL BILLED CHARGES,,22.24,28,
THER EXER W/COLD/H,97110,CPT,,,,BOTH,,,80,40,28,,,,FEE SCHEDULE,,25.2,,,,FEE SCHEDULE,,22.24,,,,FEE SCHEDULE,,28,,,,FEE SCHEDULE,,,85,,68,PERCENTAGE OF TOTAL BILLED CHARGES,,22.24,40,
NEUROMUSCULAR RE-E,97112,CPT,,,,BOTH,,,42,21,32.07,,,,FEE SCHEDULE,,28.86,,,,FEE SCHEDULE,,29.66,,,,FEE SCHEDULE,,32.07,,,,FEE SCHEDULE,,,85,,35.7,PERCENTAGE OF TOTAL BILLED CHARGES,,28.86,32.07,
GAIT TRAINING PER,97116,CPT,,,,BOTH,,,33.5,16.75,28,,,,FEE SCHEDULE,,25.2,,,,FEE SCHEDULE,,20.01,,,,FEE SCHEDULE,,28,,,,FEE SCHEDULE,,,85,,28.475,PERCENTAGE OF TOTAL BILLED CHARGES,,20.01,28,
MASSAGE PER 15 MIN,97124,CPT,,,,BOTH,,,33.5,16.75,28.18,,,,FEE SCHEDULE,,25.36,,,,FEE SCHEDULE,,20.01,,,,FEE SCHEDULE,,28.18,,,,FEE SCHEDULE,,,85,,28.475,PERCENTAGE OF TOTAL BILLED CHARGES,,20.01,28.18,
JOINT MOBILIZATION,97140,CPT,,,,BOTH,,,48,24,25.83,,,,FEE SCHEDULE,,23.25,,,,FEE SCHEDULE,,28.17,,,,FEE SCHEDULE,,25.83,,,,FEE SCHEDULE,,,85,,40.8,PERCENTAGE OF TOTAL BILLED CHARGES,,23.25,28.17,
MYOFASCIAL SOFT TI,97140,CPT,,,,BOTH,,,52.8,26.4,25.83,,,,FEE SCHEDULE,,23.25,,,,FEE SCHEDULE,,28.17,,,,FEE SCHEDULE,,25.83,,,,FEE SCHEDULE,,,85,,44.88,PERCENTAGE OF TOTAL BILLED CHARGES,,23.25,28.17,
THERAPEUTIC ACTIVI,97530,CPT,,,,BOTH,,,35,17.5,34.8,,,,FEE SCHEDULE,,31.32,,,,FEE SCHEDULE,,16.61,,,,FEE SCHEDULE,,34.8,,,,FEE SCHEDULE,,,85,,29.75,PERCENTAGE OF TOTAL BILLED CHARGES,,16.61,34.8,
ADL PER 15 MIN,97535,CPT,,,,BOTH,,,81,40.5,30.97,,,,FEE SCHEDULE,,27.87,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,30.97,,,,FEE SCHEDULE,,,85,,68.85,PERCENTAGE OF TOTAL BILLED CHARGES,,27.87,40.5,
WOUND CARE NON DME </= 50 SQ CM,97602,CPT,,,,BOTH,,,52,26,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,37.08,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,44.2,PERCENTAGE OF TOTAL BILLED CHARGES,,37.08,180.58,
WOUND CARE NON DME > 50 SQ CM,97602,CPT,,,,BOTH,,,60,30,180.58,,,,FEE SCHEDULE,,162.52,,,,FEE SCHEDULE,,37.08,,,,FEE SCHEDULE,,180.58,,,,FEE SCHEDULE,,,85,,51,PERCENTAGE OF TOTAL BILLED CHARGES,,37.08,180.58,
STAT CHARGE  BB LIFESOUTH,99050,CPT,,,,BOTH,,,15,,,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,,85,,12.75,PERCENTAGE OF TOTAL BILLED CHARGES,,,,
MODERATE SEDATION SAME PHY 5<  ER,99152,CPT,,,,BOTH,,,31,15.5,11.87,,,,FEE SCHEDULE,,10.68,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,11.87,,,,FEE SCHEDULE,,,85,,26.35,PERCENTAGE OF TOTAL BILLED CHARGES,,10.68,15.5,
MODERATE SEDATION SAME PHY 5<  ER PHY,99152,CPT,,,,BOTH,,,31,15.5,11.87,,,,FEE SCHEDULE,,10.68,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,11.87,,,,FEE SCHEDULE,,,85,,26.35,PERCENTAGE OF TOTAL BILLED CHARGES,,10.68,15.5,
THERAPUTIC PHLEBOTOMY,99195,CPT,,,,BOTH,,,228,114,116.11,,,,FEE SCHEDULE,,104.5,,,,FEE SCHEDULE,,66.74,,,,FEE SCHEDULE,,116.11,,,,FEE SCHEDULE,,,85,,193.8,PERCENTAGE OF TOTAL BILLED CHARGES,,66.74,116.11,
OUT PATIENT  VISIT HOSPITAL,99211,CPT,,,,BOTH,,,36,18,8.44,,,,FEE SCHEDULE,,7.6,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,8.44,,,,FEE SCHEDULE,,,85,,30.6,PERCENTAGE OF TOTAL BILLED CHARGES,,7.6,18,
WORKERS COMP RECHE,99211,CPT,,,,BOTH,,,36,18,8.44,,,,FEE SCHEDULE,,7.6,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,8.44,,,,FEE SCHEDULE,,,85,,30.6,PERCENTAGE OF TOTAL BILLED CHARGES,,7.6,18,
WOUND CK/ RECHECK,99211,CPT,,,,BOTH,,,22,11,8.44,,,,FEE SCHEDULE,,7.6,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,8.44,,,,FEE SCHEDULE,,,85,,18.7,PERCENTAGE OF TOTAL BILLED CHARGES,,7.6,11,
OP NUR CHARGE,99211,CPT,,,,BOTH,,,36,18,8.44,,,,FEE SCHEDULE,,7.6,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,8.44,,,,FEE SCHEDULE,,,85,,30.6,PERCENTAGE OF TOTAL BILLED CHARGES,,7.6,18,
NURSE LEVEL OUTPATIENT,99211,CPT,,,,BOTH,,,22,11,8.44,,,,FEE SCHEDULE,,7.6,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,8.44,,,,FEE SCHEDULE,,,85,,18.7,PERCENTAGE OF TOTAL BILLED CHARGES,,7.6,11,
PHYS TREATMENT ROO,99212,CPT,,,,BOTH,,,63,31.5,33.87,,,,FEE SCHEDULE,,30.48,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,33.87,,,,FEE SCHEDULE,,,85,,53.55,PERCENTAGE OF TOTAL BILLED CHARGES,,30.48,33.87,
MISC EMERGENCY ROOM,99212,CPT,,,,BOTH,,,63,31.5,33.87,,,,FEE SCHEDULE,,30.48,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,33.87,,,,FEE SCHEDULE,,,85,,53.55,PERCENTAGE OF TOTAL BILLED CHARGES,,30.48,33.87,
OUTPATIENT VISIT,99214,CPT,,,,BOTH,,,193,96.5,93.01,,,,FEE SCHEDULE,,83.71,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,93.01,,,,FEE SCHEDULE,,,85,,164.05,PERCENTAGE OF TOTAL BILLED CHARGES,,83.71,96.5,
ER FEE LEVEL 1 TRIAGE,99281,CPT,,,,BOTH,,,55,27.5,75.09,,,,FEE SCHEDULE,,67.58,,,,FEE SCHEDULE,,56.88,,,,FEE SCHEDULE,,75.09,,,,FEE SCHEDULE,,,85,,46.75,PERCENTAGE OF TOTAL BILLED CHARGES,,56.88,75.09,
ER PROFESSIONAL FE,99281,CPT,,,,BOTH,,,55,27.5,75.09,,,,FEE SCHEDULE,,67.58,,,,FEE SCHEDULE,,56.88,,,,FEE SCHEDULE,,75.09,,,,FEE SCHEDULE,,,85,,46.75,PERCENTAGE OF TOTAL BILLED CHARGES,,56.88,75.09,
EXAM LEVEL 1,99281,CPT,,,,BOTH,,,69,34.5,75.09,,,,FEE SCHEDULE,,67.58,,,,FEE SCHEDULE,,56.88,,,,FEE SCHEDULE,,75.09,,,,FEE SCHEDULE,,,85,,58.65,PERCENTAGE OF TOTAL BILLED CHARGES,,56.88,75.09,
ER/INITIAL SERVICE,99281,CPT,,,,BOTH,,,55,27.5,75.09,,,,FEE SCHEDULE,,67.58,,,,FEE SCHEDULE,,56.88,,,,FEE SCHEDULE,,75.09,,,,FEE SCHEDULE,,,85,,46.75,PERCENTAGE OF TOTAL BILLED CHARGES,,56.88,75.09,
ER/PRO FEE LEVEL 1,99281,CPT,,,,BOTH,,,55,27.5,75.09,,,,FEE SCHEDULE,,67.58,,,,FEE SCHEDULE,,56.88,,,,FEE SCHEDULE,,75.09,,,,FEE SCHEDULE,,,85,,46.75,PERCENTAGE OF TOTAL BILLED CHARGES,,56.88,75.09,
ER FEE LEVEL 2,99282,CPT,,,,BOTH,,,107,53.5,139.69,,,,FEE SCHEDULE,,125.72,,,,FEE SCHEDULE,,56.88,,,,FEE SCHEDULE,,139.69,,,,FEE SCHEDULE,,,85,,90.95,PERCENTAGE OF TOTAL BILLED CHARGES,,56.88,139.69,
EXAM LEVEL 2,99282,CPT,,,,BOTH,,,107,53.5,139.69,,,,FEE SCHEDULE,,125.72,,,,FEE SCHEDULE,,56.88,,,,FEE SCHEDULE,,139.69,,,,FEE SCHEDULE,,,85,,90.95,PERCENTAGE OF TOTAL BILLED CHARGES,,56.88,139.69,
ER/PRO FEE LEVEL 2,99282,CPT,,,,BOTH,,,107,53.5,139.69,,,,FEE SCHEDULE,,125.72,,,,FEE SCHEDULE,,56.88,,,,FEE SCHEDULE,,139.69,,,,FEE SCHEDULE,,,85,,90.95,PERCENTAGE OF TOTAL BILLED CHARGES,,56.88,139.69,
ER FEE LEVEL 3,99283,CPT,,,,BOTH,,,160,80,245.03,,,,FEE SCHEDULE,,220.53,,,,FEE SCHEDULE,,56.88,,,,FEE SCHEDULE,,245.03,,,,FEE SCHEDULE,,,85,,136,PERCENTAGE OF TOTAL BILLED CHARGES,,56.88,245.03,
EXAM LEVEL 3,99283,CPT,,,,BOTH,,,160,80,245.03,,,,FEE SCHEDULE,,220.53,,,,FEE SCHEDULE,,56.88,,,,FEE SCHEDULE,,245.03,,,,FEE SCHEDULE,,,85,,136,PERCENTAGE OF TOTAL BILLED CHARGES,,56.88,245.03,
ER/PRO FEE LEVEL 3,99283,CPT,,,,BOTH,,,160,80,245.03,,,,FEE SCHEDULE,,220.53,,,,FEE SCHEDULE,,56.88,,,,FEE SCHEDULE,,245.03,,,,FEE SCHEDULE,,,85,,136,PERCENTAGE OF TOTAL BILLED CHARGES,,56.88,245.03,
ER FEE LEVEL 4,99284,CPT,,,,BOTH,,,293,146.5,381.61,,,,FEE SCHEDULE,,343.45,,,,FEE SCHEDULE,,104.24,,,,FEE SCHEDULE,,381.61,,,,FEE SCHEDULE,,,85,,249.05,PERCENTAGE OF TOTAL BILLED CHARGES,,104.24,381.61,
ER/PRO FEE LEVEL 4,99284,CPT,,,,BOTH,,,293,146.5,381.61,,,,FEE SCHEDULE,,343.45,,,,FEE SCHEDULE,,104.24,,,,FEE SCHEDULE,,381.61,,,,FEE SCHEDULE,,,85,,249.05,PERCENTAGE OF TOTAL BILLED CHARGES,,104.24,381.61,
EXAM LEVEL 4,99284,CPT,,,,BOTH,,,293,146.5,381.61,,,,FEE SCHEDULE,,343.45,,,,FEE SCHEDULE,,104.24,,,,FEE SCHEDULE,,381.61,,,,FEE SCHEDULE,,,85,,249.05,PERCENTAGE OF TOTAL BILLED CHARGES,,104.24,381.61,
ER FEE LEVEL 5,99285,CPT,,,,BOTH,,,425,212.5,548.11,,,,FEE SCHEDULE,,493.3,,,,FEE SCHEDULE,,436.22,,,,FEE SCHEDULE,,548.11,,,,FEE SCHEDULE,,,85,,361.25,PERCENTAGE OF TOTAL BILLED CHARGES,,436.22,548.11,
ER/PRO FEE LEVEL 5,99285,CPT,,,,BOTH,,,425,212.5,548.11,,,,FEE SCHEDULE,,493.3,,,,FEE SCHEDULE,,436.22,,,,FEE SCHEDULE,,548.11,,,,FEE SCHEDULE,,,85,,361.25,PERCENTAGE OF TOTAL BILLED CHARGES,,436.22,548.11,
EXAM LEVEL 5,99285,CPT,,,,BOTH,,,425,212.5,548.11,,,,FEE SCHEDULE,,493.3,,,,FEE SCHEDULE,,436.22,,,,FEE SCHEDULE,,548.11,,,,FEE SCHEDULE,,,85,,361.25,PERCENTAGE OF TOTAL BILLED CHARGES,,436.22,548.11,
EMS DIRECTION,99288,CPT,,,,BOTH,,,109,,,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,,85,,92.65,PERCENTAGE OF TOTAL BILLED CHARGES,,,,
ER CRITICAL  30-74,99291,CPT,,,,BOTH,,,542,271,767.72,,,,FEE SCHEDULE,,690.95,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,767.72,,,,FEE SCHEDULE,,,85,,460.7,PERCENTAGE OF TOTAL BILLED CHARGES,,690.95,767.72,
ER PRO FEE CRITICAL CARE  30-74  MIN,99291,CPT,,,,BOTH,,,542,271,767.72,,,,FEE SCHEDULE,,690.95,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,767.72,,,,FEE SCHEDULE,,,85,,460.7,PERCENTAGE OF TOTAL BILLED CHARGES,,690.95,767.72,
ER CRITICAL EACH ADDTL 30 MIN,99292,CPT,,,,BOTH,,,273,136.5,102.65,,,,FEE SCHEDULE,,92.39,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,102.65,,,,FEE SCHEDULE,,,85,,232.05,PERCENTAGE OF TOTAL BILLED CHARGES,,92.39,136.5,
ER/PRO FEE CRITICAL EACH ADDTL 30 MIN,99292,CPT,,,,BOTH,,,273,136.5,102.65,,,,FEE SCHEDULE,,92.39,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,102.65,,,,FEE SCHEDULE,,,85,,232.05,PERCENTAGE OF TOTAL BILLED CHARGES,,92.39,136.5,
INITIAL HOSP OR BIRTH PER DAY,99463,CPT,,,,BOTH,,,270,135,120.86,,,,FEE SCHEDULE,,108.77,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,120.86,,,,FEE SCHEDULE,,,85,,229.5,PERCENTAGE OF TOTAL BILLED CHARGES,,108.77,135,
INITIAL HOSP OR BIRTHING PER DAY,99463,CPT,,,,BOTH,,,270,135,120.86,,,,FEE SCHEDULE,,108.77,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,120.86,,,,FEE SCHEDULE,,,85,,229.5,PERCENTAGE OF TOTAL BILLED CHARGES,,108.77,135,
ADMIN 1ST DOSE MODERNA COVID-19 VACCINE,0011A,CPT,,,,BOTH,,,100,50,41.52,,,,FEE SCHEDULE,,37.37,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,41.52,,,,FEE SCHEDULE,,,85,,85,PERCENTAGE OF TOTAL BILLED CHARGES,,37.37,50,
ADMIN 2ND DOSE MODERNA COVID-19 VACCINE,0012A,CPT,,,,BOTH,,,100,50,41.52,,,,FEE SCHEDULE,,37.37,,,,FEE SCHEDULE,,,,,,FEE SCHEDULE,,41.52,,,,FEE SCHEDULE,,,85,,85,PERCENTAGE OF TOTAL BILLED CHARGES,,37.37,50,
